,training_dates,testing_dates,model_type,clf,parameters,baseline,auc-roc,a_at_5,a_at_20,a_at_50,f1_at_5,f1_at_20,f1_at_50,p_at_1,p_at_5,p_at_10,p_at_20,p_at_50,r_at_1,r_at_5,r_at_10,r_at_20,r_at_50
0,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.01, 'penalty': 'l1'}",0.2569279493269992,0.6240915456295626,0.734027650892259,0.6929776478470066,0.568305012485535,0.13335979360984324,0.3280458544388163,0.4296749275828774,0.43597560975609756,0.40950639853747717,0.4032896740785867,0.3747525506319476,0.32523296181253425,0.01694915254237288,0.07964916439492711,0.1569278179447671,0.29169135948796965,0.63292639563826
1,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.01, 'penalty': 'l2'}",0.2569279493269992,0.636473625016398,0.7365247579024301,0.6993117729459772,0.576283573908277,0.14149632863663425,0.34190882431351644,0.4402156420984873,0.4878048780487805,0.4344911639244363,0.42704843131282366,0.39058931018730014,0.3332115232352762,0.01896408676069693,0.0845087116273557,0.16617281024060684,0.30401801588242267,0.6484532416735806
2,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",0.2569279493269992,0.6369657554445063,0.7370729033436872,0.6997990133382057,0.5780498203301053,0.1432823973010518,0.3429752066115702,0.4425490827164467,0.5091463414634146,0.4399756246191347,0.4303990252817545,0.3918075224607888,0.3349777696571046,0.01979376555647742,0.0855754415076449,0.16747659120540476,0.3049662202204575,0.651890482398957
3,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.2569279493269992,0.6388201645672338,0.7379864790791156,0.6998599183872343,0.577684390035934,0.14625917840841435,0.343108504398827,0.4420663018989378,0.5030487804878049,0.44911639244363194,0.43374961925068534,0.39195979899497485,0.33461233936293316,0.01955671447196871,0.08735332464146023,0.16878037217020267,0.3050847457627119,0.6511793291454309
4,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l1'}",0.2569279493269992,0.6320696732394919,0.7365247579024301,0.6997381082891772,0.5743346123393629,0.14149632863663425,0.34284190882431353,0.4376408110717734,0.49390243902439024,0.4344911639244363,0.41425525434054217,0.3916552459266027,0.33126256166636214,0.01920113784520564,0.0845087116273557,0.16119473746592392,0.30484769467820316,0.6446604243214412
5,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l2'}",0.2569279493269992,0.6258834860937859,0.7365856629514587,0.6965710457396919,0.5692185882209635,0.14169478071045843,0.33591042388696346,0.43088187962664953,0.49085365853658536,0.4351005484460695,0.4145598537922632,0.38373686614892644,0.32614653754796274,0.019082612302951284,0.08462723716961006,0.16131326300817828,0.2986843664809766,0.6347042787720754
6,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2012-12-31 00:00:00'), Timestamp('2013-06-29 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.01, 'penalty': 'l1'}",0.3148824100170956,0.6375554932559032,0.6865037194473964,0.6658041861109828,0.5909993993438987,0.1408129669494745,0.350892937270035,0.49807212519845767,0.5462962962962963,0.5138632162661737,0.4792051756007394,0.4517097966728281,0.4058774604934849,0.017314746881878208,0.08158473954512106,0.15216434336023477,0.28686720469552457,0.6444607483492296
7,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2012-12-31 00:00:00'), Timestamp('2013-06-29 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.01, 'penalty': 'l2'}",0.3148824100170956,0.6469420695038495,0.6890911611144481,0.675045049207596,0.59192348565356,0.1479042674433329,0.3688414251099345,0.49920616919936495,0.5925925925925926,0.5397412199630314,0.5129390018484289,0.474815157116451,0.4068015895018945,0.018782098312545854,0.08569332355099046,0.16287600880410857,0.30154071900220103,0.6459280997798973
8,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2012-12-31 00:00:00'), Timestamp('2013-06-29 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",0.3148824100170956,0.6473368333511129,0.6910317423647369,0.6746754146837315,0.5929399805941875,0.15322274281372672,0.36812348559633856,0.500453617600363,0.6111111111111112,0.5591497227356746,0.5097042513863216,0.4738909426987061,0.407818131411145,0.019369038884812912,0.08877476155539252,0.16184886280264124,0.300953778429934,0.6475421863536317
9,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2012-12-31 00:00:00'), Timestamp('2013-06-29 00:00:00'))",LR,"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.3148824100170956,0.6523687562603399,0.6932495495079241,0.6806819756965301,0.5941412927967472,0.15930100037989112,0.37979000269227314,0.5019278748015424,0.6018518518518519,0.5813308687615527,0.5314232902033271,0.488909426987061,0.40901949912207747,0.019075568598679385,0.09229640498899487,0.16874541452677916,0.31049156272927364,0.6494497432134997
