,training_dates,testing_dates,model_type,clf,parameters,baseline,auc-roc,a_at_5,a_at_20,a_at_50,f1_at_5,f1_at_20,f1_at_50,p_at_1,p_at_5,p_at_10,p_at_20,p_at_50,r_at_1,r_at_5,r_at_10,r_at_20,r_at_50
0,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.2569279493269992,0.5043649856730593,0.6930994579450637,0.5552104269443937,0.7552226079541994,0.0,0.02652625966408958,0.6766173157386547,0.0,0.0,0.060615290892476394,0.030303030303030304,0.5121505572811986,0.0,0.0,0.02358658290861681,0.02358658290861681,0.996681284816878
1,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 5}",0.2569279493269992,0.5092934327683668,0.6940739387295207,0.5446129484134234,0.7434679334916865,0.003175233181186743,0.003332444681418289,0.6610878661087866,0.04878048780487805,0.009750152346130409,0.007614986293024673,0.003806913354652048,0.5003958828186856,0.001896408676069693,0.001896408676069693,0.0029631385563588953,0.0029631385563588953,0.9738058551617874
2,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.2569279493269992,0.5084212419630043,0.6935866983372921,0.5435775625799378,0.7293379621170595,0.0015876165905933715,0.0010663822980538523,0.642420341165111,0.024390243902439025,0.004875076173065204,0.0024367956137678953,0.0012182122734886553,0.48626591144405873,0.0009482043380348466,0.0009482043380348466,0.0009482043380348466,0.0009482043380348466,0.9463079293587768
3,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 5}",0.2569279493269992,0.6246631626350018,0.6969364760338632,0.6742188927462086,0.573908276996163,0.012502480650922802,0.286990135963743,0.43707756678467974,0.19207317073170732,0.038391224862888484,0.019189765458422176,0.32785137810263437,0.3308362263231622,0.007467109162024416,0.007467109162024416,0.007467109162024416,0.25518549247362804,0.6438307455256608
4,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.1, 'max_samples': 0.1, 'n_estimators': 1}",0.2569279493269992,0.543593734271874,0.701443449661977,0.5605091662098788,0.6065533832754736,0.027187934113911495,0.038123167155425214,0.480205986482137,0.2347560975609756,0.08348567946374162,0.041730124885775204,0.04355108877721943,0.36348133260247273,0.009126466753585397,0.016237999288846748,0.016237999288846748,0.03389830508474576,0.7073604361739955
5,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.1, 'max_samples': 0.1, 'n_estimators': 5}",0.2569279493269992,0.5698970808632193,0.7247091783908886,0.672209026128266,0.539496924295024,0.10299662631474499,0.2825913089842709,0.39161570646926297,0.27439024390243905,0.3162705667276051,0.31434663417605846,0.3228262524744937,0.29642487362202324,0.010667298802892022,0.06151475643001067,0.1223183596064952,0.25127414957923433,0.5768638141519498
6,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.1, 'max_samples': 0.5, 'n_estimators': 1}",0.2569279493269992,0.5590222980007644,0.7269017601559169,0.5817041232718192,0.6734271271088373,0.11014090097241516,0.0845107971207678,0.5685548760862569,0.3932926829268293,0.3382084095063985,0.16905269570514772,0.09654332267397595,0.43035507643583654,0.0152897949508119,0.06578167595116748,0.06578167595116748,0.07514519378926159,0.8375014815692782
7,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.1, 'max_samples': 0.5, 'n_estimators': 5}",0.2569279493269992,0.6273266940150557,0.735854802363116,0.6933430781411779,0.5742737072903343,0.13931335582456839,0.32884564116235665,0.4375603476021886,0.4817073170731707,0.42778793418647165,0.4020712762717027,0.3756662098370641,0.3312016566173336,0.01872703567618822,0.08320493066255778,0.15645371577574968,0.2924025127414958,0.6445418987791869
8,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.5, 'max_samples': 0.1, 'n_estimators': 1}",0.2569279493269992,0.5615621987057862,0.729398867166088,0.6739143675010658,0.53797429806931,0.11827743599920622,0.2863236470274593,0.3896041197296427,0.4176829268292683,0.36319317489335773,0.33932378921717943,0.327089995431704,0.29490224739630916,0.016237999288846748,0.07064122318359607,0.13203745407135237,0.25459286476235626,0.5739006755955909
9,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.5, 'max_samples': 0.1, 'n_estimators': 5}",0.2569279493269992,0.6289206417893143,0.7361593276082588,0.6949875144649491,0.5747609476825629,0.14030561619368923,0.3324446814182885,0.43820405535886703,0.5030487804878049,0.4308348567946374,0.4032896740785867,0.3797776762600883,0.3316888970095621,0.01955671447196871,0.08379755837382956,0.1569278179447671,0.2956027023823634,0.6454901031172218
