,training_dates,testing_dates,model_type,clf,parameters,baseline,auc-roc,a_at_5,a_at_20,a_at_50,f1_at_5,f1_at_20,f1_at_50,p_at_1,p_at_5,p_at_10,p_at_20,p_at_50,r_at_1,r_at_5,r_at_10,r_at_20,r_at_50
0,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'n_jobs': -1}",0.7396811205483534,0.5376414315873373,0.30195201907316344,0.34653553866785874,0.5270153479362241,0.11601313356229007,0.30458913450255304,0.6184580618794625,0.8656716417910447,0.9165175909361956,0.9582712369597616,0.7155416480405304,0.766704416761042,0.011684125705076551,0.06192586623690572,0.12953263497179693,0.1934730056406124,0.5182514101531024
1,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}",0.7396811205483534,0.6060187004128638,0.29348830278647,0.39630457457904933,0.5626583221576517,0.10529493904970375,0.3575528844629095,0.647210135346299,0.8686567164179104,0.8318425760286225,0.8342771982116245,0.8399642378185069,0.8023484532395542,0.011724415793714747,0.05620467365028203,0.11277195809830781,0.22711522965350522,0.542344883158743
2,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 500, 'n_jobs': -1}",0.7396811205483534,0.6384675467602572,0.2985546118313217,0.4079868872001192,0.5805394129041872,0.11171075970864627,0.36998509403444235,0.66163425247013,0.9641791044776119,0.8825283243887895,0.8718330849478391,0.8691700193711817,0.8202300768909817,0.013013698630136987,0.05962933118452861,0.11784850926672039,0.23501208702659146,0.5544319097502014
3,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10, 'n_jobs': -1}",0.7396811205483534,0.5797648437957647,0.2918790046192818,0.3727015347936224,0.5546714349575325,0.10325697248745141,0.3324347467571596,0.6407673630309877,0.817910447761194,0.815742397137746,0.807451564828614,0.7809566383549397,0.7943613280085832,0.011039484286865431,0.05511684125705076,0.10914585012087026,0.21116035455278,0.5369460112812248
4,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}",0.7396811205483534,0.6246604539519112,0.29772016092981674,0.40405304723588137,0.5714796602592758,0.1106540363059969,0.3657987377501506,0.654326033127389,0.9283582089552239,0.874180083482409,0.8566318926974664,0.8593354194605871,0.811170054240925,0.012530217566478647,0.05906526994359387,0.11579371474617244,0.2323529411764706,0.5483078162771958
5,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500, 'n_jobs': -1}",0.7396811205483534,0.642645142334482,0.30171360452987633,0.4119803308001788,0.5804798092683654,0.11571121259010454,0.374234879959405,0.6615861720797173,0.9373134328358209,0.9141323792486583,0.8968703427719821,0.8791536283713306,0.8201704714788103,0.01265108783239323,0.061764705882352944,0.12123287671232877,0.23771152296535053,0.5543916196615633
6,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10, 'n_jobs': -1}",0.7396811205483534,0.6377697533287178,0.29682610639248996,0.4062583817612874,0.5864997764863656,0.10952183266030117,0.36814563445498083,0.666442291511407,0.8865671641791045,0.8652355396541443,0.8628912071535022,0.8648487557741023,0.8261906181081242,0.011966156325543917,0.05846091861402095,0.11663980660757453,0.2338436744560838,0.5584609186140209
7,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}",0.7396811205483534,0.6503155357382542,0.30213082998062885,0.414424079868872,0.5885859037401282,0.1162395742914292,0.3768354952269195,0.6681251051758541,0.9522388059701492,0.9183064997018485,0.9070044709388971,0.8852630010430637,0.8282768075341241,0.012852538275584207,0.062046736502820304,0.1226027397260274,0.23936341659951652,0.5598710717163577
8,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500, 'n_jobs': -1}",0.7396811205483534,0.654267748971761,0.3032632990612427,0.41507971986291164,0.5890031291908806,0.1176736989093105,0.3775332212743015,0.6684616679087435,0.9492537313432836,0.9296362552176506,0.9102831594634874,0.8869021010281627,0.8286940454193241,0.01281224818694601,0.06281224818694602,0.12304593070104754,0.23980660757453667,0.5601531023368251
9,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=500, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 10, 'n_jobs': -1}",0.7396811205483534,0.6308613176865417,0.30105796453583666,0.40774847265683206,0.5744002384145432,0.11488092991659432,0.36973137547175794,0.6566819722576147,0.8776119402985074,0.9075730471079309,0.8903129657228018,0.8685739830129638,0.8140907194373249,0.011845286059629331,0.06132151490733279,0.12034649476228848,0.2348509266720387,0.5502820306204673
