,training_dates,testing_dates,model_type,clf,parameters,baseline,auc-roc,a_at_5,a_at_20,a_at_50,f1_at_5,f1_at_20,f1_at_50,p_at_1,p_at_5,p_at_10,p_at_20,p_at_50,r_at_1,r_at_5,r_at_10,r_at_20,r_at_50
0,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.7396811205483534,0.4998611986843337,0.3098793026374609,0.45990165400089406,0.7598867530919386,0.12605200588745896,0.4252323110589578,0.8063081472221554,0.9791044776119403,0.9958258795468098,0.9979135618479881,0.9989569363731188,0.9995827621148,0.01321514907332796,0.06728444802578566,0.13489121676067686,0.2701047542304593,0.6756647864625303
1,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 5}",0.7396811205483534,0.5055542435587749,0.2961704663984503,0.44619281776188346,0.746177916852928,0.10869154998679095,0.4106434937046081,0.7952496574272184,0.9044776119402985,0.8586762075134168,0.9293591654247392,0.9646848457755923,0.9858735173153722,0.012207896857373087,0.05801772763900081,0.12562449637389203,0.26083803384367443,0.6663980660757454
2,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.7396811205483534,0.5393153844486254,0.30481299359260916,0.36447623305021604,0.5276709879302638,0.11963618522851643,0.3236814563445498,0.6189869461740029,0.8149253731343283,0.9451401311866429,0.629210134128167,0.7603933839964238,0.7673600762949275,0.010999194198227235,0.06385979049153909,0.08505237711522966,0.2056003223207091,0.5186946011281225
3,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 5}",0.7396811205483534,0.5690221777680812,0.2906273282670243,0.37496647295485025,0.5450156459544032,0.10167188738347738,0.3348450731026609,0.6329783397841191,0.8238805970149253,0.8032200357781754,0.7323397913561848,0.7866189837580092,0.7847052512368123,0.011120064464141821,0.054270749395648674,0.09899274778404513,0.21269137792103143,0.5304190169218372
4,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",AB,"AdaBoostClassifier(algorithm='SAMME',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
          learning_rate=1.0, n_estimators=5, random_state=None)","{'algorithm': 'SAMME', 'n_estimators': 1}",0.7396811205483534,0.6028056730843298,0.3102965280882134,0.3410520041722545,0.6410371032632991,0.12658036758878363,0.2987536075608132,0.7104358487390917,1.0,1.0,0.9535022354694486,0.7018328118015199,0.8807295702449782,0.013497179693795327,0.06756647864625302,0.12888799355358582,0.18976631748589848,0.5953263497179694
5,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",AB,"AdaBoostClassifier(algorithm='SAMME',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
          learning_rate=1.0, n_estimators=5, random_state=None)","{'algorithm': 'SAMME', 'n_estimators': 5}",0.7396811205483534,0.6413000045663638,0.29003129190880644,0.3855163164953062,0.5954999254954553,0.10091708495301355,0.34607211950144307,0.6737024304637353,1.0,0.7972570065593322,0.898360655737705,0.8129935926091492,0.8351910353460095,0.013497179693795327,0.05386784850926672,0.12143432715551974,0.21982272360999194,0.5645447219983883
6,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=1, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 1, 'subsample': 0.5}",0.7396811205483534,0.6037579329039722,0.3102965280882134,0.3356876769482938,0.6356727760393384,0.12658036758878363,0.29304493990041547,0.7061086136019424,1.0,1.0,0.98301043219076,0.6884219937416183,0.87536508314955,0.013497179693795327,0.06756647864625302,0.13287671232876713,0.1861402095084609,0.5917002417405318
7,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2013-02-28 00:00:00'), Timestamp('2013-08-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.681088480524329,0.501399881320713,0.36889700087111627,0.5188949267847514,0.8188907786120214,0.1367453472537449,0.45395480225988705,0.8466563641472323,1.0,1.0,1.0,1.0,1.0,0.014678116815884037,0.07339058407942019,0.14678116815884037,0.2936232413667093,0.7340885559412875
8,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2013-02-28 00:00:00'), Timestamp('2013-08-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 5}",0.681088480524329,0.5232934996250315,0.3687310739619198,0.3692288546895093,0.5826938233708051,0.13651838402178845,0.28408662900188325,0.64667041303737,0.991701244813278,0.9983402489626556,0.9991701244813278,0.6258037751503838,0.7637932464946486,0.014556306717826907,0.07326877398136306,0.14665935806078323,0.183750532919179,0.5606918813569645
9,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2013-02-28 00:00:00'), Timestamp('2013-08-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.681088480524329,0.5346280971976136,0.36035176504749655,0.4089683494420708,0.5361513253411873,0.1250567408079891,0.32919020715630887,0.60726327620118,0.966804979253112,0.9145228215767635,0.48132780082987553,0.7251607550300767,0.717248817721729,0.01419087642365552,0.06711736402947804,0.07064985687313478,0.2129240514038614,0.5265241488519399
