,training_dates,testing_dates,model_type,clf,parameters,baseline,auc-roc,a_at_5,a_at_20,a_at_50,f1_at_5,f1_at_20,f1_at_50,p_at_1,p_at_5,p_at_10,p_at_20,p_at_50,r_at_1,r_at_5,r_at_10,r_at_20,r_at_50
0,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.7396811205483534,0.49912832035763394,0.3102965280882134,0.46031887945164657,0.760303978542691,0.12658036758878363,0.4256763185436554,0.8066447099550449,1.0,1.0,1.0,1.0,1.0,0.013497179693795327,0.06756647864625302,0.13517324738114425,0.27038678485092665,0.6759468170829975
1,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 5}",0.7396811205483534,0.5126791317635805,0.30677991357472806,0.45680226493816123,0.7567873640292058,0.12212703324904707,0.42193396974406144,0.8038079669206913,0.8298507462686567,0.9648181276088252,0.982414307004471,0.9912084637162867,0.996483280681886,0.011200644641418211,0.06518936341659952,0.13279613215149072,0.26800966962127315,0.6735697018533441
2,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.7396811205483534,0.5080432093327251,0.29909104455371777,0.26958724482193414,0.5649232603188794,0.11239008189606371,0.22270146839618152,0.6490371901819842,0.8029850746268656,0.8878950506857484,0.9436661698956781,0.523170913425719,0.8046134589020683,0.010838033843674455,0.05999194198227236,0.12755842062852538,0.14145850120870265,0.5438759065269944
3,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 5}",0.7396811205483534,0.5855706824684379,0.28961406645805393,0.3932647891521383,0.5702875875428401,0.10038872325168888,0.3543179727886841,0.6533644253191336,0.8805970149253731,0.793082886106142,0.8089418777943368,0.8323647742512293,0.8099779459974966,0.011885576148267527,0.053585817888799354,0.10934730056406124,0.2250604351329573,0.5475020145044319
4,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.1, 'max_samples': 0.1, 'n_estimators': 1}",0.7396811205483534,0.539499717946317,0.28669348830278646,0.3299061242735807,0.6079570853822083,0.09669019134241613,0.28689226475532015,0.6837512320600043,0.817910447761194,0.7638640429338104,0.8065573770491803,0.6739681120548353,0.8476485664898373,0.011039484286865431,0.0516116035455278,0.10902497985495568,0.18223207091055602,0.5729653505237712
5,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.1, 'max_samples': 0.1, 'n_estimators': 5}",0.7396811205483534,0.5650552322457238,0.2917597973476382,0.37770824020265237,0.5387572641931158,0.10310601200135866,0.33776283657353084,0.6279298987907782,0.8477611940298507,0.8145497912939773,0.8068554396423249,0.7934734018775146,0.7784466829588127,0.011442385173247381,0.05503626107977438,0.10906526994359388,0.2145447219983884,0.5261885576148267
6,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.1, 'max_samples': 0.5, 'n_estimators': 1}",0.7396811205483534,0.5246169512649058,0.28770675011175684,0.37562211294888986,0.5332141260616897,0.09797335547420462,0.3355427991500428,0.6234584224823906,0.7164179104477612,0.7740011926058438,0.7737704918032787,0.7882580837431084,0.7729033796268702,0.009669621273166801,0.052296535052377115,0.10459307010475423,0.21313456889605156,0.5224415793714746
7,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.1, 'max_samples': 0.5, 'n_estimators': 5}",0.7396811205483534,0.556435918464115,0.2921174191625689,0.37776784383847417,0.5339293696915511,0.10355889345963694,0.3378262662142019,0.6240353871673439,0.8298507462686567,0.8181276088252832,0.8077496274217586,0.793622410967069,0.7736186445729272,0.011200644641418211,0.055278001611603546,0.10918614020950847,0.2145850120870266,0.522925060435133
8,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.5, 'max_samples': 0.1, 'n_estimators': 1}",0.7396811205483534,0.5859644460147406,0.29402473550886604,0.38563552376694976,0.5506183877216511,0.10597426123712118,0.34619897878278516,0.6374978964829195,0.8865671641791045,0.8372093023255814,0.8226527570789866,0.8132916107882581,0.7903081599809263,0.011966156325543917,0.056567284448025786,0.11120064464141821,0.21990330378726833,0.5342062852538275
9,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-08-29 00:00:00'), Timestamp('2013-02-27 00:00:00'))",BG,"BaggingClassifier(base_estimator=LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=-1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
         bootstrap=True, bootstrap_features=False, max_features=0.5,
         max_samples=0.5, n_estimators=5, n_jobs=1, oob_score=False,
         random_state=None, verbose=0, warm_start=False)","{'max_features': 0.5, 'max_samples': 0.1, 'n_estimators': 5}",0.7396811205483534,0.6138897117056199,0.2962300700342721,0.3980926836537029,0.5651616748621666,0.10876703022983734,0.3594557736830421,0.6492295117436353,0.8656716417910447,0.8592725104353012,0.8572280178837556,0.8444345105051408,0.804851880550754,0.011684125705076551,0.058058017727639,0.11587429492344883,0.22832393231265108,0.5440370668815472
